,cylinders,displ,make,year,fuelType
1524,4.0,2.0,Plymouth,1985,Regular
1546,4.0,1.8,Subaru,1985,Regular
1600,6.0,3.8,Chevrolet,1994,Regular
1607,6.0,3.8,Chrysler,1994,Regular
1616,6.0,3.8,Dodge,1994,Regular
1617,4.0,2.5,Jeep,1994,Regular
1618,6.0,4.0,Jeep,1994,Regular
1636,6.0,3.2,Isuzu,1994,Regular
1638,4.0,2.6,Honda,1994,Regular
1639,6.0,3.2,Honda,1994,Regular
1641,4.0,2.6,Mazda,1994,Regular
1653,6.0,3.8,Plymouth,1994,Regular
1654,4.0,1.6,Suzuki,1994,Regular
1669,4.0,1.0,Suzuki,1985,Regular
1683,8.0,5.2,Jeep,1994,Regular
1691,6.0,4.2,Toyota,1985,Regular
1702,4.0,2.4,Toyota,1985,Regular
1719,8.0,3.9,Land Rover,1994,Premium
1723,8.0,4.3,Land Rover,1994,Premium
1727,6.0,3.5,Mitsubishi,1994,Premium
1732,6.0,3.3,Plymouth,1994,Regular
1744,6.0,4.3,Oldsmobile,1994,Premium
1745,6.0,4.5,Toyota,1994,Regular
1757,4.0,2.4,Nissan,1985,Regular
1758,6.0,3.0,Acura,1995,Premium
1760,8.0,5.7,Chevrolet,1995,Premium
1763,6.0,3.0,Nissan,1995,Premium
1767,10.0,8.0,Dodge,1995,Premium
1769,8.0,3.5,Ferrari,1995,Premium
1770,12.0,4.7,Ferrari,1995,Premium
1771,12.0,4.9,Ferrari,1995,Premium
1772,8.0,3.4,Ferrari,1995,Premium
1773,4.0,1.5,Honda,1995,Regular
1775,4.0,1.6,Honda,1995,Regular
1776,4.0,1.6,Honda,1995,Premium
1778,12.0,5.7,Lamborghini,1995,Premium
1780,4.0,2.3,Ford,1985,Regular
1782,4.0,2.2,Lotus,1995,Premium
1783,4.0,1.8,Mazda,1995,Regular
1785,2.0,1.3,Mazda,1995,Premium
1787,6.0,3.2,Mercedes-Benz,1995,Premium
1788,8.0,5.0,Mercedes-Benz,1995,Premium
1789,12.0,6.0,Mercedes-Benz,1995,Premium
1790,8.0,5.0,Panoz Auto-Development,1995,Regular
1792,4.0,3.0,Porsche,1995,Premium
1794,4.0,2.0,Toyota,1995,Premium
1795,4.0,2.2,Toyota,1995,Regular
1797,6.0,2.8,Audi,1995,Premium
1799,4.0,1.8,BMW,1995,Premium
1801,6.0,2.5,BMW,1995,Premium
1804,4.0,2.4,Nissan,1995,Premium
1807,6.0,3.6,Porsche,1995,Premium
1810,8.0,5.4,Porsche,1995,Premium
1817,4.0,1.5,Toyota,1995,Regular
1819,6.0,3.0,Toyota,1995,Premium
1823,4.0,1.8,Acura,1995,Premium
1825,4.0,1.8,Acura,1995,Regular
1827,6.0,3.0,BMW,1995,Premium
1833,8.0,4.0,BMW,1995,Premium
1834,12.0,5.4,BMW,1995,Premium
1837,6.0,3.4,Chevrolet,1995,Regular
1839,6.0,3.8,Chevrolet,1995,Regular
1842,6.0,3.0,Chrysler,1995,Regular
1843,4.0,1.6,Nissan,1995,Regular
1848,4.0,2.0,Nissan,1995,Regular
1852,6.0,3.0,Dodge,1995,Regular
1856,6.0,3.0,Dodge,1995,Premium
1858,4.0,1.5,Eagle,1995,Regular
1860,4.0,1.8,Eagle,1995,Regular
1862,4.0,2.0,Eagle,1995,Regular
1864,4.0,2.0,Eagle,1995,Premium
1868,6.0,3.0,Nissan,1985,Regular
1871,12.0,5.5,Ferrari,1995,Premium
1872,4.0,1.3,Ford,1995,Regular
1874,6.0,3.8,Ford,1995,Regular
1876,8.0,5.0,Ford,1995,Regular
1878,8.0,5.8,Ford,1995,Regular
1880,4.0,2.0,Ford,1995,Regular
1882,6.0,2.5,Ford,1995,Premium
1884,3.0,1.0,Geo,1995,Regular
1885,4.0,1.3,Geo,1995,Regular
1897,4.0,2.2,Honda,1995,Regular
1898,4.0,2.2,Honda,1995,Premium
1900,4.0,2.3,Honda,1995,Premium
1902,4.0,1.5,Honda,1985,Regular
1903,4.0,1.5,Hyundai,1995,Regular
1906,6.0,3.0,Infiniti,1995,Premium
1907,12.0,6.0,Jaguar,1995,Premium
1909,6.0,3.0,Lexus,1995,Premium
1911,8.0,4.0,Lexus,1995,Premium
1912,4.0,1.6,Mazda,1995,Regular
1915,6.0,1.9,Mazda,1995,Regular
1917,4.0,2.0,Mazda,1995,Regular
1919,6.0,2.5,Mazda,1995,Premium
1922,4.0,2.0,Mitsubishi,1995,Regular
1925,4.0,2.0,Mitsubishi,1995,Premium
1931,4.0,1.5,Mitsubishi,1995,Regular
1933,4.0,1.8,Mitsubishi,1995,Regular
1935,8.0,5.0,Mercedes-Benz,1985,Regular
1936,6.0,3.0,Mitsubishi,1995,Regular
1938,6.0,3.0,Mitsubishi,1995,Premium
1941,6.0,3.4,Pontiac,1995,Regular
